5363938,cmn,你在倫敦玩得開心嗎？,Did you have a good time on your trip to London?
5363939,cmn,在倫敦地鐵，上車時會有「注意間隙」提醒。,"In the London underground there is a warning to ""mind the gap"" when boarding the train."
5363940,cmn,倫敦許多部份在十七世紀時被摧毀。,Much of London was destroyed in the seventeenth century.
5363941,cmn,倫敦人對這座橋感到非常自豪。,The people of London are very proud of this bridge.
5363942,cmn,倫敦的人口遠遠多於其他英國城市的人口。,The population of London is much greater than that of any other British city.
5363943,cmn,在倫敦，警察總是擔心在列車上發現炸彈。,"In London, the police are always worried about finding a bomb on the train or subway."
5363945,cmn,女孩在教室的角落啜泣。,The girl was sobbing in the corner of the schoolroom.
5363946,cmn,也許Tom年紀太大，不適合做這件事。,Perhaps Tom is too old to do this kind of thing.
5363950,cmn,Tom，快一點。,"Faster, Tom."
5363954,cmn,你為什麼問我？,Why are you asking me?
5363956,cmn,Tom是我爺爺。,Tom is my grandfather.
5363957,cmn,你怎麼到那的？,How did you get there?
5363959,cmn,別挑戰我的耐心。,Don't try my patience.
5363960,cmn,什麼都別問我。,Don't ask me anything.
5363961,cmn,你有關門嗎？,Did you lock the door?
5363963,cmn,你現在滿意了嗎？,Are you satisfied now?
5363964,cmn,你會怕Tom嗎？,Are you afraid of Tom?
5363966,cmn,我的傘在哪？,Where is my umbrella?
5363967,cmn,Tom有兩個孩子。,Tom has two children.
5363969,cmn,請把門鎖上。,Please lock the door.
5363970,cmn,我會請Tom等。,I'll ask Tom to wait.
5363971,cmn,Tom有說什麼嗎？,Did Tom say anything?
5363972,cmn,今天幾號？,What's today's date?
5363973,cmn,他問你什麼？,What did he ask you?
5363975,cmn,Tom知道我的號碼。,Tom knows my number.
5364038,cmn,別害怕犯錯。,Don't be afraid to make a mistake.
5364041,cmn,我發現了一些有趣的東西。,I've discovered something interesting.
5364043,cmn,Nick不需要來我辦公室。,Nick doesn't need to come to my office.
5364101,cmn,Tom下星期不用去波士頓。,Tom doesn't have to go to Boston next week.
5364102,cmn,自由非常非常重要。,"Freedom is very, very important."
5364103,cmn,我在想有多少加拿大人住在波士頓。,I wonder how many Canadians live in Boston.
5364125,cmn,同樣的事在這－波士頓發生。,The same thing is happening here in Boston.
5364126,cmn,這裡有些有趣的連結。,Here are some interesting links.
5364127,cmn,這裡有些非常重要的東西。,Here's something very important.
5364129,cmn,我們還會在波士頓待三個月。,We'll be in Boston for another three weeks.
5372265,cmn,她沒有出現。,She did not turn up.
5372267,cmn,她消失了。,She disappeared.
5372278,cmn,她很了解最新的時尚趨勢。,She knows a lot about the latest fashions.
5374479,cmn,他們在辦公室安裝了一台自動販賣機。,They installed a vending machine at work.
5375370,cmn,自由有價。,One must pay for freedom.
5382894,cmn,你可以在這裡等到雪停。,You can stay here till the snow stops.
5382951,cmn,她為了學習日文來到日本。,She came to Japan for the purpose of studying Japanese.
5382952,cmn,她將會成為日本第一個女性太空人。,She will be the first Japanese woman astronaut.
5382953,cmn,她每天都去探視在醫院裡的老人，除了星期天。,She visited the old man in the hospital every day but Sunday.
5382954,cmn,她沒有在星期天來找我，而是星期一。,She did not visit me on Sunday but on Monday.
5382955,cmn,她從前會在星期天去看電影。,She used to go to the movies on Sundays.
5382956,cmn,她在入口看到一個年輕男人。,She saw a young man at the entrance.
5386545,cmn,我們在等對的時機。,We're waiting for the right time.
5386934,cmn,我聽過她的故事。,I have heard her story before.
5386938,cmn,如果你開心，我也就開心。,I'm happy if you're happy.
5386942,cmn,桌上有個杯子。,There is a cup on the table.
5386943,cmn,這是湯姆的雨傘。,This is Tom's umbrella.
5389741,cmn,我可以听见你心里的声音。,I can hear the sound in your mind.
5393356,cmn,我知道很多法语词汇但我很难将它们组成句子,I know a lot of French words but it's difficult for me to combine them into sentences.
5393357,cmn,你知道怎么驾驶这玩意儿吗？,Do you know how to drive this thing?
5393359,cmn,我问汤姆为什么他昨天没在这里,I asked Tom why he wasn't here yesterday.
5393360,cmn,我错过派对了吗？,Did I miss the party?
5393363,cmn,汤姆被送回了波士顿,Tom was sent back to Boston.
5393369,cmn,大家都知道是汤姆做的,Everyone knew Tom was the one who did it.
5398109,cmn,奥运会最重要的不是胜利，而是参与；正如在生活中最重要的事情不是成功，而是奋斗；但最本质的事情并不是征服，而是奋力拼搏。,"The most important thing in the Olympic Games is not to win but to take part, just as the most important thing in life is not the triumph but the struggle. The essential thing is not to have conquered but to have fought well."
5401607,cmn,告訴她我只是在跟她開玩笑。,Tell her that I am just joking with her.
5401610,cmn,跟她說我正在吃東西。,Tell her that I am eating.
5401611,cmn,跟她說我在睡覺。,Tell her that I am sleeping.
5401612,cmn,跟她說我正在看新聞。,Tell her that I am watching the news.
5401613,cmn,跟她說我正在開車。,Tell her that I am driving.
5401615,cmn,我想把這個包裹寄到日本。,I'd like to send this package to Japan.
5401617,cmn,你可以保管這個行李直到下午三點嗎？,Could you keep this luggage until 3 p.m.?
5401619,cmn,我甚至不想去想會發生什麼。,I don't even want to think about what could happen.
5401635,cmn,麻煩拷貝這個。,Please copy this.
5401637,cmn,你能替我拷貝這個嗎？,Can you copy this for me?
5402009,cmn,我們應該給她一點時間。,We should give her some time.
5402012,cmn,也許我們應該幫他們一下。,Maybe we should give them a hand.
5402021,cmn,他們害怕我們。,They're afraid of us.
5402067,cmn,誰邀請了你們？,Who invited you guys?
5402094,cmn,你們想要吃些什麼嗎？,Do you guys want something to eat?
5405457,cmn,她是我家最早起床的人。,She gets up the earliest in my family.
5405458,cmn,她問了關於我學校的事。,She asked about my school.
5405470,cmn,她打了我的下巴。,She slapped me on the chin.
5405475,cmn,她看到我的臉就開始哭。,She began to cry at the sight of my face.
5405477,cmn,她每次看見我都給露出厭惡的眼神。,She gives me a nasty look every time she sees me.
5405480,cmn,我對於她的記憶開始消散。,My memory of her has begun to recede.
5405483,cmn,她開始在我的記憶中消散。,She had begun to recede in my memory.
5405486,cmn,她向我抱怨我微薄的薪水。,She complained to me of my small salary.
5405487,cmn,她快速地刷了下我的鞋子。,She gave my shoes a quick brush.
5405489,cmn,她似乎喜歡上了我哥哥。,She seems to be in love with my brother.
5405500,cmn,她強烈反對我的計畫。,She has a strong objection to my plan.
5405533,cmn,她忽視了我所有的警告。,She ignored all my warnings.
5405534,cmn,她照顧了我的狗。,She took care of my dog.
5405536,cmn,我怕她不會接受我的解釋。,I'm afraid she won't accept my explanation.
5405558,cmn,她被我的話給激怒了。,She took offence at my word.
5405560,cmn,她把我的話當成玩笑。,She took my words as a joke.
5405564,cmn,她承認我的聲明是真實的。,She acknowledged that my statement was true.
5410876,cmn,無論一個男人多有錢，他一定無所事事。,"No matter how rich a man may be, he ought not to be idle."
5410878,cmn,不管一個人有多老，他都能學習。,"No matter how old one may be, one can learn."
5411170,cmn,她現在更加年長也更加有智慧。,She is older and wiser now.
5411250,cmn,她的生活很寂寞。,She lived a lonely life.
5411826,cmn,女孩们睡着了,The girls were asleep.
5411837,cmn,每个人都想要得到无法拥有的东西,Everyone wants what they can't have.
5414431,cmn,世间没有一种具有真正价值的东西，可以不 经过艰苦辛勤的劳动而能够得到的。,"Nothing in the world is worth having or worth doing unless it means effort, pain, difficulty."
5414469,cmn,每个人都很困惑,Everybody was confused.
5414471,cmn,你不用工作吗,Don't you have to work?
5414479,cmn,巴西是南美洲最大的國家。,Brazil is the biggest country in South America.
5414482,cmn,我們需要多少糖？,How much sugar do we need?
5414483,cmn,別讓他玩你的手機。,Don't let him play with your phone.
5414484,cmn,別讓他跑。,Don't let him run.
5414485,cmn,別讓他咬你。,Don't let him bite you.
