1,cmn,我們試試看！,Let's try something.
2,cmn,我該去睡覺了。,I have to go to sleep.
3,cmn,你在幹什麼啊？,What are you doing?
4,cmn,這是什麼啊？,What is it?
5,cmn,今天是６月１８號，也是Muiriel的生日！,Today is June 18th and it is Muiriel's birthday!
6,cmn,生日快樂，Muiriel！,"Happy birthday, Muiriel!"
7,cmn,Muiriel現在20歲了。,Muiriel is 20 now.
8,cmn,"密碼是""Muiriel""。","The password is ""Muiriel""."
9,cmn,我很快就會回來。,I will be back soon.
10,cmn,我不知道。,I have no idea.
11,cmn,我不知道應該說什麼才好。,I'm at a loss for words.
12,cmn,這個永遠完不了了。,This is never going to end.
13,cmn,我只是不知道應該說什麼而已……,I just don't know what to say.
14,cmn,那是一隻有惡意的兔子。,That was an evil bunny.
15,cmn,我以前在山裏。,I was in the mountains.
16,cmn,那是一張近照嗎？,Is it a recent picture?
17,cmn,我不知道我有沒有時間。,I don't know if I have the time.
18,cmn,剛才我的麥克風沒起作用，不知道為什麼。,For some reason the microphone didn't work earlier.
19,cmn,到了最後，大家一定要靠自己學習。,Everyone must learn on their own in the end.
20,cmn,世界上的教育都讓我失望。,Education in this world disappoints me.
21,cmn,選擇什麼是“對”或“錯”是一項艱難的任務，我們卻必須要完成它。,"It is a difficult task, choosing what is ""right"" or ""wrong"", but you have to do it."
22,cmn,這樣做的話什麼都不會改變的。,That won't change anything.
23,cmn,這個要三十歐元。,This will cost €30.
24,cmn,我一天賺一百歐元。,I make €100 a day.
25,cmn,也許我會馬上放棄然後去睡一覺。,I may give up soon and just nap instead.
26,cmn,那是不會發生的。,That won't happen.
27,cmn,我會盡量不打擾你復習。,I will try not to interrupt you while you are studying.
28,cmn,不要擔心。,Don't worry.
29,cmn,我很想你。,I miss you.
30,cmn,我明天回來的時候會跟他們聯絡。,I'll call them tomorrow when I come back.
31,cmn,我一直都比較喜歡神秘一點的人物。,I always liked mysterious characters more.
32,cmn,你應該去睡覺了吧。,You should sleep.
33,cmn,我要走了。,I'm going to go.
34,cmn,我請他們再寄給我一張票。,I told them to send me another ticket.
35,cmn,我不能活那種命。,I can't live that kind of life.
36,cmn,我曾經想過當個太空物理學家。,I once wanted to be an astrophysicist.
37,cmn,我從來沒喜歡過生物學。,I never liked biology.
38,cmn,可惜這是真的。,It is unfortunately true.
39,cmn,大部份的人覺得我瘋了。,Most people think I'm crazy.
40,cmn,不，我不是！你才是！,No I'm not; you are!
41,cmn,那是我該說的話!,That's MY line!
42,cmn,他在踢我！,He's kicking me!
43,cmn,你肯定嗎？,Are you sure?
44,cmn,那就表示有問題...,Then there is a problem...
45,cmn,哦！有一隻蝴蝶！,"Oh, there's a butterfly!"
46,cmn,趕快!,Hurry up.
47,cmn,如果我可以像那樣的話...,If I could be like that...
48,cmn,你是在跟我開玩笑吧？！,Are you freaking kidding me?!
49,cmn,我長大後想當國王。,"When I grow up, I want to be a king."
50,cmn,我好胖哦。,I'm so fat.
51,cmn,那又怎樣?,So what?
52,cmn,我要把他射下來。,I will shoot him.
53,cmn,那是因為妳是女生。,That's because you're a girl.
54,cmn,我會不高興，但我不會自殺。,"I'd be unhappy, but I wouldn't kill myself."
55,cmn,以前讀高中的時候﹐我每天早上六點起床。,"Back in high school, I got up at 6 a.m. every morning."
56,cmn,你問這個幹什麼?,Why do you ask?
57,cmn,你待了多久?,How long did you stay?
58,cmn,我不知道它是從哪裏來的。,I didn't know where it came from.
59,cmn,這個不重要。,This is not important.
60,cmn,哪裡有問題?,Where is the problem?
61,cmn,不要再把我當成“正常” 人!,"Stop seeing me as a ""normal"" person!"
62,cmn,所有被發明的都是真的。,"All that which is invented, is true."
63,cmn,感到驚訝、感到驚奇就是明白的開始。,"To be surprised, to wonder, is to begin to understand."
64,cmn,宇宙毫無疑問是無限的。,There's no doubt that the universe is infinite.
65,cmn,要變得完美，她就是少了一個缺點。,To be perfect she lacked just one defect.
66,cmn,然而，相反的理論往往也是真的。,"And yet, the contrary is always true as well."
67,cmn,我們看東西不是看其實質，而是以我們的主觀意識看它們的。,"We don't see things as they are, but as we are."
68,cmn,世界就是一個瘋子的囚籠。,The world is a den of crazies.
69,cmn,我叫Jack。,My name is Jack.
70,cmn,從來就沒有徒勞的愛情。,Love is never wasted.
71,cmn,生活就是當你忙著進行你的計劃時總有其他的事情發生。,Life is what happens to you while you're busy making other plans.
72,cmn,沒有欲望就等於擁有。,Not wanting is the same as having.
73,cmn,聖誕節快樂！,Merry Christmas!
74,cmn,羅馬不是一天建成的。,Rome wasn't built in a day.
75,cmn,你是從哪個國家來的？,Which country are you from?
7166,cmn,我已經看過這部電影了。,I have seen the film before.
119952,cmn,這間房間朝向很好。,This room's orientation is great.
136201,cmn,你知不知道他們是誰?,Do you know who they are?
136206,cmn,你騙人！,You must be kidding!
136235,cmn,他也會說法語。,He can also speak French.
136236,cmn,我會說法語。,I can speak French.
136238,cmn,我收到了請帖。,I received an invitation.
136401,cmn,你住在哪裏？,Where do you live?
136402,cmn,你記不記得我們認識的那一天？,Do you remember the day when we first met?
136598,cmn,他住在這裏嗎？,Does he live here?
136604,cmn,火車站離這裏不遠。,The station is not far from here.
136613,cmn,火車站在哪裏?,Where is the railroad station?
136646,cmn,正在下雹。,It's hailing.
139673,cmn,我愛你。,I love you.
180700,cmn,我喜歡旅行。,I love trips.
180705,cmn,我很期待去旅遊.,I am looking forward to the trip.
180706,cmn,我在旅行社工作.,I work in a travel agency.
180712,cmn,我跟父母住在一起.,I live with my parents.
181028,cmn,他沒有孩子.,He has no children.
330581,cmn,這是我的媽媽.,This is my mother.
330582,cmn,以後再講。,Talk to you later.
330583,cmn,我真的不知道。,Damned if I know.
330584,cmn,人人都願意相信美夢可以成真。,Everyone would like to believe that dreams can come true.
330585,cmn,十分感謝。,Thank you very much.
330586,cmn,我跟父母聯絡了一下。,I contacted my parents.
330587,cmn,我跟父母講了留學的事情。,I talked with my parents about my studying abroad.
330588,cmn,我把旅費耗光了。,I have run out of my traveling expenses.
330589,cmn,我在旅行中用了地圖。,I made use of the maps during my journey.
330590,cmn,我不夠錢去旅行。,I am short of money for my trip.
330591,cmn,他喜歡旅行. 我也是.,He likes traveling and so do I.
332135,cmn,今天是幾月幾號？,What is the date today?
332420,cmn,我收到了一張請帖。,I received an invitation.
332421,cmn,她半年後就要出國了。,She's leaving the country in six months.
332422,cmn,很少人這麼認為。,Few people think so.
332423,cmn,這周我一直在工作。,I worked all this week.
332425,cmn,明天下午之前我會把它完成。,I will finish it by tomorrow afternoon.
332427,cmn,那個發現純屬偶然。,That discovery was quite accidental.
332428,cmn,在英國的時候，我經常看參考書。,While in England I often consulted the guidebook.
332429,cmn,我弟弟會經常徹夜不睡。,My brother will often sit up all night.
332430,cmn,你不得不制造一些借口。,You'll have to manufacture some kind of excuse.
332431,cmn,她可能出什麼事了。,Something might have happened to her.
332432,cmn,你參加社團活動嗎？,Do you take part in any community activities?
332433,cmn,我找到那把我一直在找的鑰匙了。,I found the key for which I had been looking.
332434,cmn,我丟了我的傘。,I lost my umbrella.
332435,cmn,她是他的一切。,She is everything to him.
332436,cmn,接電話。,Answer the phone.
332437,cmn,我在報紙上看到了它。,I saw it in the newspaper.
332439,cmn,雨不停，我們不會出去。,We won't go out if it doesn't stop raining.
332441,cmn,他們是熱愛和平的人。,They are peace-loving people.
332442,cmn,我覺得你說的是真的。,I think what you say is true.
332443,cmn,可以原諒我嗎？,Can you forgive me?
332445,cmn,他發誓要戒煙。,He vowed to give up smoking.
332447,cmn,在明天前完成報告幾乎是不可能的。,Finishing the report by tomorrow is next to impossible.
332448,cmn,他昨天看了一部最有趣的小說。,"Yesterday, he read the most interesting novel."
332449,cmn,如果可能的話，我想環遊世界。,"If possible, I'd like to travel around the world."
332450,cmn,我是網球俱樂部的會員。,I belong to a tennis club.
332451,cmn,醫生，請給這孩子急救。,"Doctor, please give this child first aid."
332452,cmn,據說山上的天氣變化很快。,It is said that the weather on the mountain changes easily.
332453,cmn,他後悔在校時沒用功讀書。,He regrets not having worked harder at school.
332454,cmn,我可以用支票付嗎？,May I pay by check?
332456,cmn,如果他年輕一點，他將很適合這個職位。,"If he were a little younger, he would be eligible for the post."
332459,cmn,他給我的工作作出了明確指示。,He gave me precise instructions to do the job.
332460,cmn,他向權力屈服。,He succumbed to authority.
332461,cmn,是在昨天Jake打破了這扇窗。,It was yesterday that Jake broke this window.
332462,cmn,今天糟糕透了，所以我準備去喝一杯就直接上床。,"I had an awful experience today, so I'm going to have a beer and go straight to bed."
332466,cmn,我覺得這個網站的概念非常好。,I really like the concept of this website.
332467,cmn,啊，我認識這個男人！,"Oh, I know this man!"
332468,cmn,待在那兒別動。,Remain there and don't move.
332470,cmn,沿著這條路直走，到第三個紅綠燈的地方右轉。,Go straight down this street and turn right at the third light.
332471,cmn,他正坐在會議室裏。,He's sitting in the meeting room.
332472,cmn,等她回來的時候問問她。,Ask her when she comes back.
332473,cmn,他說得很大聲。,He spoke very loudly.
332477,cmn,我們必須設法打破這個僵局。,We must try to break the deadlock.
332478,cmn,十年後，我們的城市將改變許多。,In ten years our town will change a lot.
332479,cmn,你咖啡喝得太多了。,You drink too much coffee.
332480,cmn,我有好幾打呢。,I have several dozens of them.
332481,cmn,我無法想象另一個星球上的生物。,I can't imagine life on another planet.
332485,cmn,溫度計往往低於零度。,Thermometers often go below zero.
332486,cmn,要完成實驗，三個月太短了。,Three months is too short a time to finish the experiment.
332487,cmn,“這些車是你的嗎？”“是的，是我的。”,"Are these your cars? ""Yes, they are."""
332488,cmn,我叔叔住在學校附近。,My uncle lives near the school.
332489,cmn,去踢足球吧。,Let's play soccer.
332490,cmn,合同已經到手了，那就出去慶祝一下吧。,"The contract is in the bag, so let's go out and celebrate."
332491,cmn,我難以用言語表達我的感情。,I find it hard to express my feelings in words.
332496,cmn,貓抓住了老鼠。,The cat caught the rats.
332498,cmn,直到那時，他才意識到他已經上當受騙。,Only then did he realize he had been deceived.
332499,cmn,他的醫生建議他戒煙。,His doctor advised him to quit smoking.
332500,cmn,我爸爸很忙。,My father is busy.
332501,cmn,他用了一些手段來和Nancy私下交談。,He contrived a means of speaking to Nancy privately.
332502,cmn,把這些座位留給老人。,Keep these seats for the elderly.
332503,cmn,我無法取代她做英語老師。,I can't take the place of her as an English teacher.
332505,cmn,他們粗心大意，還沒意識到危險。,They were carelessly unaware of the danger.
332506,cmn,她揮著她的手，直到火車消失在視線之外。,She waved her hand until the train was out of sight.
332507,cmn,當她發現他們還沒有學校，她就辦了一個。,"When she saw that they had no schools, she started one."
332508,cmn,謝謝你的答復。,Thanks for your reply.
332509,cmn,Jack買不起新自行車。,Jack can't afford to buy a new bicycle.
332513,cmn,他尋找一切可能的逃生途徑。,He looked for every possible means of escape.
332518,cmn,對嚴格限制經濟的批評蜂擁而來。,Critics are coming down hard on tightened economic restrictions.
332520,cmn,這藥創造了奇跡。,The medicine worked marvels.
332525,cmn,我發現了我爸爸收藏了30年的報紙。,I discovered my father collected 30 years of newpapers.
332526,cmn,如何克服日元升高是個大問題。,How to overcome the high value of the yen is a big problem.
332528,cmn,你想走的時候就走吧。,Go when you want.
332529,cmn,他們在畫展上授予了她一等獎。,They awarded her first prize at the flower show.
332532,cmn,你可以騎上我的摩托車去遛一圈。,You can have a ride on my motorcycle.
332533,cmn,他給我們講了一個有趣的故事，我們都笑了起來。,He told us such a funny story that we all laughed.
332535,cmn,如何料理黑鯛：做刺身是最好吃的。,"How to prepare black porgy: Sashimi, Whatever anybody says sashimi is the tastiest."
332536,cmn,讓我們來澄清一下這個問題。,Let's clear up this problem.
332537,cmn,別忘了在你的信上貼張郵票。,Don't forget to put a stamp on your letter.
332538,cmn,我的生意終於走上了正軌。,My business has at last gotten on the right track.
332539,cmn,如果你需要筆的話，我借你一支。,"If you need a pen, I'll lend you one."
332540,cmn,我要回房間了，在那兒我可以學習。,"I am going to my room, where I can study."
332541,cmn,照這樣的情況，很抱歉，我不能接受你的盛情邀請。,"As such is the case, I am sorry I can't accept your kind invitation."
332542,cmn,在一天之內完成它幾乎是不可能的。,It's next to impossible to finish it in a day.
