926772,cmn,我同意她。,,,I agreed with her.
926774,cmn,我是個老師。,,,I'm a teacher.
926776,cmn,我決心要成為一名科學家。,,,I am determined to be a scientist.
926788,cmn,我厭倦了功課。,,,I am tired of homework.
926800,cmn,我希望再次见到您。,,,I hope to see you again.
926805,cmn,我願意接受你的報價。,,,I am willing to take your offer.
926808,cmn,對於他的工作我很滿意。,,,I am pleased with his work.
926809,cmn,我決定買一輛車。,,,I decided to buy a car.
926811,cmn,我找不到我的票。,,,I can't find my ticket.
926813,cmn,我們不喜歡我們的鄰居，而他們也不喜歡我們。,,,"We don't like our neighbors, and they don't like us, either."
926818,cmn,我如此地愛她所以我無法離開她。,,,I love her so much that I can't leave her.
926831,cmn,我今天沒吃午餐。,,,I didn't have lunch today.
926838,cmn,昨天我組裝了一個揚聲器。,,,I built an amplifier yesterday.
926842,cmn,我問了他許多關於生態環境的問題。,,,I asked him many questions about ecology.
926843,cmn,我分不清他和他的弟弟。,,,I can't distinguish him from his brother.
926845,cmn,我從樹上砍下了一根樹枝。,,,I cut a branch from the tree.
926858,cmn,我完全同意。,,,I agree completely.
926900,cmn,我为了停车计时收费器需要它。,,,I need it for the parking meter.
928616,cmn,有廁所嗎？,,,Does it have a toilet?
928817,cmn,起初我們並不熟悉，漸漸地就熟悉起來了。,,,"At first, we weren't familiar at all. Over time we got to know each other."
928892,cmn,他面帶笑容。,,,He had a smile on his face.
928900,cmn,宇宙浩瀚無邊。,,,The universe is limitless.
928920,cmn,為了這次的測試，我特地買了電壓測試儀。,,,I bought a new ball point pen with an electronic watch especially for this test.
928936,cmn,我買了一個新的調色盤和幾支水彩筆。,,,I've bought a new palette and a few paint brushes.
929634,cmn,你从桌下爬出来吧！,,,Come out from under the table!
930300,cmn,我比他好。,,,I'm better than him.
930466,cmn,石头、剪子、布。,,,"Rock, paper, scissors."
931053,cmn,我父親對古代歷史有興趣。,,,My father is interested in ancient history.
931055,cmn,好可愛！,,,How cute!
931057,cmn,那個包包看起來好貴,,,That bag looks expensive.
931059,cmn,我已經和這位學生說過了,,,I have already talked with this student.
931063,cmn,他喜歡到國外旅行,,,He likes to travel abroad.
932037,cmn,我欠你一千美元。,,,"I owe you $1,000."
932150,cmn,好像我快要昏倒了。,,,I think I'm going to faint.
933622,cmn,你是我的朋友。,,,You are my friend.
933952,cmn,如果进行尝试，任何人都可以做。,,,Anyone can do it if they try.
933954,cmn,不要轻视了对手。,,,Don't hold your rival cheap.
933955,cmn,我的父母不理解我。,,,My parents don't understand me.
933956,cmn,没钱，没工作，没朋友，他真是无所适从。,,,"No money, no job, no friends. He was truly at loose ends."
933957,cmn,我有一本关于钓鱼的书。,,,I have a book about fishing.
933959,cmn,我将明天和他见面。,,,I'll meet him tomorrow.
933964,cmn,狗正试图逃脱。,,,The dog is trying to escape.
934177,cmn,你能用C小調演奏嗎？,,,Can you play the key of C minor?
934179,cmn,我妥善保管原版拷貝。,,,I keep the master copy under lock and key.
934183,cmn,我的木床实在很笨重。,,,My wooden bed is actually quite heavy.
934185,cmn,他没带钥匙，用铁丝拨动了两下，门居然开了。,,,"Forgetting his key, he was able to open the door by inserting a wire in the key hole."
934188,cmn,保险箱的钥匙在我这儿。,,,I have the key to the safe.
934195,cmn,過年時，小劉的單位给每位員工發一袋麵粉。,,,"In the New Year, Liu's company give every employee a bag of flour."
934203,cmn,白粉可不是好東西，離它遠一點！,,,"The heroin isn't a good thing, stay away from it!"
934268,cmn,我不敢走在前面，太黑了。,,,"I'm afraid to go first, it's too dark."
934510,cmn,"無視於"" 禁止進入"" 的牌子，她推開了門走進去。",,,"Disregarding the ""No Entry"" sign, she pushed open the door and walked inside."
934526,cmn,女人喜歡男人的方式跟他們喜歡自己的咖啡一樣：強，熱，並且讓她們整夜醒著。,,,Women like men the way they like their coffee: strong and hot to keep them awake all night long.
934527,cmn,當心墜落的東西!,,,Watch out for falling objects!
937642,cmn,你记得你父亲的生日吗？,,,Do you remember your father's birthday?
938054,cmn,楼下有人在等您。,,,Someone is waiting for you downstairs.
938270,cmn,你喝了什么？,,,What did you drink?
938274,cmn,工会参加了示威游行吗？,,,Did the union participate in the demonstration?
939299,cmn,告诉我你在湘南做了什么。,,,Tell me what you did in Shounan.
939316,cmn,我不知道他活着还是死了。,,,I don't know whether he is dead or alive.
939346,cmn,我上个礼拜把她介绍给你了。,,,I introduced her to you last week.
939410,cmn,那个男人戴着一个老虎的面具。,,,That man was wearing a tiger mask.
939479,cmn,Luke，我是你的堂哥。,,,"Luke, I am your cousin."
939538,cmn,有时候不知道的。,,,I don't know if there's time.
939611,cmn,电影快要开演了。,,,The movie's about to start.
939776,cmn,我的妻子在试图睡觉。,,,My wife's trying to sleep.
939833,cmn,我们以为是谁，原来是您呀！,,,"We were wondering who it was, and it turns out that it was you!"
939892,cmn,只剩下两天了。,,,There's only two days left.
939899,cmn,这个人是您的奴隶，是吧？,,,"This person is your slave, right?"
939913,cmn,顾客们开始来了。,,,The customers have started to come.
940131,cmn,你听得懂瑞典语。,,,You can understand Swedish.
940263,cmn,赶上时髦,,,Get with it.
940479,cmn,"我相信马太, 马可, 路加和约翰 所说的话。假如我在一场车祸中是受害者的话，如果他们成为我的证人（目击者）我会很欣慰。",,,"I trust what Matthew, Mark, Luke and John said, and if I were ever the victim in a car accident I'd be very happy if they were my witnesses."
940810,cmn,我感冒了还发烧。,,,"I caught a cold, and I have a fever."
941085,cmn,我在澆花。,,,I am watering the flowers.
941094,cmn,我預料會有麻煩。,,,I anticipate that there will be trouble.
941103,cmn,我想不到要說什麼話。,,,I couldn't think of anything to say.
941104,cmn,我買了那輛車。,,,I bought that car.
941105,cmn,大衛再也沒有回到學校了。,,,Dave never returned to school again.
941107,cmn,我買了一本書。,,,I bought a book.
941109,cmn,我總是試著說實話。,,,I always try to tell the truth.
941112,cmn,我加上一些最後的潤飾。,,,I add a few finishing touches.
941115,cmn,我沒聽清楚你的名字。,,,I didn't get your name.
941116,cmn,我對歷史有興趣。,,,I'm interested in history.
941117,cmn,我擅長滑雪。,,,I'm good at skiing.
941118,cmn,我買了兩袋爆米花。,,,I bought two bags of popcorn.
941119,cmn,我厭倦了她的抱怨。,,,I'm tired of her complaints.
941121,cmn,我不是很喜歡它。,,,I didn't enjoy it very much.
941122,cmn,我相信他明天會來。,,,I believe he is coming tomorrow.
941138,cmn,我是這裡的外地人。,,,I am a stranger here.
941147,cmn,我在那裡要了一張桌子。,,,I asked for a table over there.
941149,cmn,鮑勃很受他所有同學們的歡迎。,,,Bob was popular with all his classmates.
941150,cmn,我不擅長畫畫。,,,I am poor at drawing.
941151,cmn,我無法想像沒有你的生活。,,,I can't imagine life without you.
941152,cmn,我相信他會做得很好。,,,I believe that he'll do fine.
941154,cmn,我不會說日語。,,,I couldn't speak Japanese.
941155,cmn,我今天很忙。,,,I'm very busy today.
941157,cmn,我決定出國留學了。,,,I decided to study abroad.
941158,cmn,我不知道你的計畫。,,,I didn't know about your plan.
941159,cmn,我不禁欣賞他的才華。,,,I can't help admiring his talent.
941164,cmn,你盯著我看使我無法讀書。,,,I can't study with you watching me.
941167,cmn,我無法戒煙。,,,I can't give up smoking.
941169,cmn,我相信湯姆是對的。,,,I believe Tom is right.
941265,cmn,我受不了她没完没了的爱。,,,I cannot bear her endless love.
941385,cmn,他倒霉极了。,,,He is shit out of luck.
941446,cmn,你要吃蝦嗎？,,,Do you want to eat prawns?
941710,cmn,政治迫害开始了。,,,The witch hunt has begun.
941799,cmn,他倒霉透了。,,,He is shit out of luck.
942115,cmn,我爸爸不喝多少烧酒。,,,My father doesn't drink so much sake.
942135,cmn,我爸爸不喝太多的烧酒。,,,My father doesn't drink too much sake.
942501,cmn,他买一个刀行，我买就不行了吗？,,,"If it's okay for him to buy a knife, then why on earth can't I?"
943182,cmn,马、狮、犬、羊：这些是动物。,,,"Horse, lion, dog, goat: these are animals."
943457,cmn,一隻鳥正在樹上唱歌。,,,A bird is singing in the tree.
943690,cmn,法国国王秃顶。,,,The King of France is bald.
943692,cmn,可惜你不會跳舞!,,,What a pity you can't dance!
943698,cmn,好哇！,,,Hooray!
944065,cmn,她的话很多。,,,She talks a lot.
945605,cmn,白先走，白胜。,,,White to play and win.
945672,cmn,还没有。,,,Not yet.
947384,cmn,我先要去银行，然后去买票。,,,"First I'll go to the bank, and then I'll buy the tickets."
947986,cmn,他遇到了事故。,,,He had an accident.
948002,cmn,你用哪一个浏览器？,,,What browser are you using?
948006,cmn,你最喜欢哪一个网络浏览器？,,,What's your favorite web browser?
948078,cmn,效果让我爸爸满意。,,,My father was happy with the result.
948082,cmn,我的钱不超一千日元。,,,"I didn't have more than 1,000 yen."
948090,cmn,我狗是白色的。,,,My dogs are white.
948096,cmn,她花实在太多的时间在网上冲浪。,,,She spends way too much time surfing the web.
948168,cmn,我希望我有一个像你一样的朋友。,,,I wish I had a friend like you.
948560,cmn,是这样的。,,,That's how it is.
948572,cmn,他坐了下来听收音机。,,,He sat listening to the radio.
949172,cmn,天太冷了，以至于没人想去外面。,,,It was so cold that no one wanted to go outside.
949255,cmn,他已经超过四十岁了。,,,He is past forty.
949256,cmn,车取代了自行车（的地位）。,,,Cars took the place of bicycles.
949689,cmn,Pharamp想要Trang完全为了她自己。,,,Pharamp wants Trang all for herself.
949920,cmn,给我一段粉笔。,,,Give me a piece of chalk.
951324,cmn,这是我自己的自行车。,,,This is my own bike.
955378,cmn,部落成员沿着河岸定居了。,,,Members of that tribe settled along the river.
955381,cmn,公安人员把小偷抓住了。,,,The policeman arrested the thief.
955389,cmn,我们在厦威夷一年到头都可以享受在海里游泳的乐趣。,,,"In Hawaii, we can enjoy swimming in the ocean all year round."
955391,cmn,在厦威夷，一个人可以一年到头享受海水浴的乐趣。,,,"In Hawaii, one can enjoy sea bathing all the year round."
955525,cmn,他们正在焚书。,,,They're carrying out a book burning.
956003,cmn,我建议让我们结束会议。,,,I suggested that we bring the meeting to an end.
957454,cmn,我觉得世界语很难学。,,,"In my opinion, Esperanto is very difficult."
957633,cmn,请把发动机关掉。,,,Please turn off your engine.
