2218911,cmn,这个岛是孩子们的天堂。,,The island is a paradise for children.
2219165,cmn,您喜欢旧金山吗？,,Do you like San Francisco?
2220573,cmn,马上上马！,,Get on the horse immediately!
2220840,cmn,小孩子们到公园去玩玩。,,The children went to play in the park.
2220860,cmn,他是经济学的专家。,,He's a specialist in economics.
2220879,cmn,这条马路在修理呢。,,This road is under repair.
2220921,cmn,这个号码你默记了吗？,,Have you got this number memorized?
2220942,cmn,明天您想作什么？,,What do you want to do tomorrow?
2220947,cmn,您要学习什么？,,What do you want to learn?
2220948,cmn,你的钥匙在哪儿？,,Where are your keys?
2220957,cmn,我把一打鸡蛋买好了。,,I finished buying a dozen eggs.
2220962,cmn,这些鸡蛋成打卖吗？,,Are these eggs sold by the dozen?
2220965,cmn,玛丽要一打鸡蛋。,,Mary wants a dozen eggs.
2220966,cmn,苹果是成打卖的。,,The apples are sold by the dozen.
2221036,cmn,您想去电影院还是去剧院吗？,,Do you want to go to the cinema or the theater?
2221045,cmn,这就是没用的。,,That's just useless.
2221089,cmn,我们给他一个苹果。,,We give him an apple.
2221094,cmn,我是外国人。,,I'm a foreigner.
2221100,cmn,溪流潺潺，催我入眠。,,The murmur of the brook lulls me to sleep.
2221113,cmn,你的飞机什么时候起飞呢？,,What time is your plane?
2221122,cmn,你会不会教我学吹气风笛？,,Can you teach me how to play the bagpipes?
2221203,cmn,你永远都无法救活一个装死的人。,,You'll never be able to revive someone who is only pretending to be dead.
2221254,cmn,这是谁的钢笔?,,Whose pen is this?
2221590,cmn,上帝不存在。,,God does not exist.
2223019,cmn,他说中文。,,He speaks Chinese.
2223020,cmn,她说中文。,,She speaks Chinese.
2223922,cmn,"《洪范》到底是什么时代的作品, 千百年来人们见仁见智, 至今仍无定论。",,"Just what time period is ""Hong Fan"" a product of? Although people have debated this issue for ages, there is still no clear consensus to this day."
2223944,cmn,你学了几年的汉语？,,How many years have you studied Mandarin for?
2223945,cmn,你在那儿学汉语吗？,,Do you study Mandarin there?
2225648,cmn,汤姆没吃过生马肉。,,Tom has never eaten raw horse meat.
2225651,cmn,这是不是茉莉花茶？,,Is this jasmine tea?
2225655,cmn,汤姆不喜欢这个颜色。,,Tom does not like this color.
2226267,cmn,這件事我必須自己面對。,,This is something I must face alone.
2226270,cmn,他們懂得讀這幾個字嗎？,,Are they able to read these words?
2228159,cmn,我一天吃了三次黑米粥！,,I've had black rice congee thrice in one day!
2228186,cmn,重庆是一座丘陵的城市，道路弯弯曲曲的。,,Chongqing is a hilly city with winding streets.
2228388,cmn,章鱼有几只手？,,How many arms does an octopus have?
2228389,cmn,鱿鱼有几只手？,,How many arms does a squid have?
2233632,cmn,他关了门。,,He closed the door.
2233803,cmn,这不是爱。,,This isn't love.
2233810,cmn,汤姆不知道玛丽是高兴呢，还是不高兴。,,Tom doesn't know whether Mary is happy or not.
2235418,cmn,我是埃及人。,,I am Egyptian.
2235467,cmn,爸爸，我爱你！,,"Daddy, i love you!"
2237838,cmn,你磨蹭什么呀，快点去吧。,,What are you lingering for? Hurry up and go.
2239090,cmn,最近怎么样？,,How have you been recently?
2241811,cmn,他一个朋友都没有。,,He does not have any friends.
2241812,cmn,他没有朋友。,,He doesn't have any friends.
2241817,cmn,水结成冰了。,,The water turned to ice.
2241819,cmn,我喜欢她因我的笑话而欢笑的样子。,,I like the way she laughs at my jokes.
2241821,cmn,你能为我翻译这首歌吗？,,Can you translate this song for me?
2241824,cmn,我只是不想和汤姆结婚。,,I just don't want to marry Tom.
2241825,cmn,你以后想当什么呢？,,What would you like to be in the future?
2241826,cmn,你和我有一些共同点。,,You and I have something in common.
2241840,cmn,我们已经原谅你了。,,We've forgiven you.
2241849,cmn,汤姆在性教育课上睡着了。,,Tom fell asleep during sex ed class.
2241879,cmn,汤姆似乎是个诚实的人。,,Tom seems to be an honest man.
2241996,cmn,你是不是尤利乌斯？,,Are you Julius?
2243483,cmn,么女長得特別漂亮。,,The youngest daughter was particularly beautiful.
2246682,cmn,你别唬我呀！,,Stop trying to play me for a fool!
2246695,cmn,不要唬我了！,,Don't give me that crap!
2250525,cmn,我也想试一试。,,I'd also like to have a try.
2250635,cmn,曲棍球在中国不是很流行。,,Field hockey is not very popular in China.
2251513,cmn,这儿连空气都有辣味儿,,Even the air's spicy here.
2252062,cmn,不管是学生还是老师，两个都必须不停地学习下去。,,Neither students nor teachers should ever stop learning.
2252152,cmn,汉语也好，英语也好，阿拉伯语也好，都属于世界上最多人用的语言。,,"Mandarin, English, and Arabic are all examples of the world's most widely spoken languages."
2252171,cmn,不管你想不想，我们必要那样做。,,"Whether you like it or not, we have to do it that way."
2252205,cmn,维族人的饭菜各种各样。,,The Uyghurs' cuisine has all kinds of dishes.
2252211,cmn,他认为我们当中有一个奸细。,,He believes that there is a spy among us.
2252333,cmn,他们决定一对一对打。,,They decided to fight mano-a-mano.
2252369,cmn,不许逐字逐句地翻译这个句子。,,You cannot translate the sentence word-for-word.
2252412,cmn,雅娜住在伦敦。,,Yana lives in London.
2252418,cmn,我们把这两头羊就一头换一头怎么样？,,"Do you want to trade our two sheep, one for another?"
2252467,cmn,为了把小偷抓住，警察逐家逐戶地搜查了。,,The policemen searched one house after another in looking for the thief.
2254032,cmn,你并不满意，对吧？,,"You're not satisfied, are you?"
2254097,cmn,鸟儿在空中飞翔。,,The birds soar in the air.
2254249,cmn,这个房间太棒了，难道不是么？,,"This room's pretty awesome, eh?"
2254253,cmn,你要不要我们给你叫辆出租车？,,Do you want us to call you a taxi?
2254255,cmn,最近咋样？,,How've ya' been lately?
2254258,cmn,最近还好么？,,You've been well lately?
2254259,cmn,最近过的如何？,,How's it going lately?
2254260,cmn,一切都还顺利吧？,,Everything's still going well?
2254262,cmn,你们刷牙去！,,You guys need to go brush your teeth!
2254271,cmn,她爱上了她男友的弟弟。,,She fell in love with her boyfriend's younger brother.
2254273,cmn,我需要你们的合作。,,I need your cooperation.
2254282,cmn,成功地解决了这个问题，对此他感到十分高兴。,,He was extremely happy at having successfully solved the problem.
2254288,cmn,我有一些朋友。,,I've got a few friends.
2254291,cmn,她给我沏了茶。,,She made tea for me.
2254296,cmn,你个呆瓜！,,You're an idiot!
2254298,cmn,你个傻子！,,You're an idiot!
2254310,cmn,忧愁就像魔鬼：谁不怕它，它就不能伤害谁。,,Worries are like ghosts - those who aren't afraid of them can't suffer at their hands.
2254316,cmn,忧愁就像魔鬼一样，它伤害不了不害怕它的人。,,Worries are like ghosts - those who aren't afraid of them can't suffer at their hands.
2254322,cmn,山无棱，天地合，我就跟你走。,,I'll go with you when pigs fly.
2254327,cmn,世界末日来临的时候，我就跟你走。,,I'll go with you when the end of the world arrives.
2254336,cmn,吸烟还是健康，选择权在你,,"Smoking or health, the choice is yours."
2254349,cmn,你跟新同学相处的怎么样？,,How are you getting along with your new classmates?
2254350,cmn,你若安好，便是晴天。,,I am relieved that you are safe.
2254352,cmn,我们一起祈祷这样的事别再发生了,,Let's just pray it never happens again.
2254353,cmn,我想给汤姆留个言,,I'd like to leave a message for Tom.
2254355,cmn,你要用这辆车干嘛？,,What are you going to use this car for?
2254357,cmn,这本教科书不错。,,This textbook is good.
2254359,cmn,他没事。,,There is nothing wrong with him.
2254360,cmn,我把这个杯子倒满了牛奶,,I filled this glass with milk.
2254361,cmn,我很想知道她的名字,,I really want to know her name.
2254363,cmn,太阳在西边落下,,The sun sets in the west.
2254365,cmn,男孩观察了一整天鸟。,,The boy observed the birds all day.
2254366,cmn,我要（用枪）打死他。,,I'm going to shoot him dead.
2254367,cmn,汤姆向玛丽求婚，但是她拒绝了。,,"Tom asked Mary to marry him, but she turned down his proposal."
2254368,cmn,你为什么喜欢夏威夷？,,Why do you like Hawaii?
2254369,cmn,你卧室里有电视吗？,,Is there a TV in your bedroom?
2254370,cmn,这个女人生了一个女婴。,,The woman gave birth to a baby girl.
2254371,cmn,谢谢你的圣诞节礼物。,,Thank you for the Christmas gift.
2254376,cmn,理论得联系实际。,,Theory and practice should go hand in hand.
2254378,cmn,估计那就是个笑话吧。,,I guess it's only a joke.
2254380,cmn,汤姆差不多忘了开会的事儿。,,Tom pretty much forgot about the meeting.
2254381,cmn,我们没有别的选择。,,We don't have another choice.
2254383,cmn,我们别无选择。,,We don't have any other choice.
2254385,cmn,那么，女孩们，是时候出发了。,,"Well, girls, it's time to go."
2254393,cmn,我的房子面朝大海,,My house looks toward the sea.
2254398,cmn,我昨天见了一个十年没见的熟人。,,Yesterday I saw an old acquaintance whom I hadn't seen in ten years.
2254399,cmn,他躺在长凳上。,,He is lying on the bench.
2254403,cmn,汤姆从不准时。,,Tom has never been punctual.
2254406,cmn,汤姆，我不想跟你讲话。,,"I don't want to talk to you, Tom."
2254408,cmn,您下午做啥呢？,,So what will you do in the afternoon?
