466062,cmn,一切都很顺利。,,,Everything went well.
466066,cmn,我从没见过一条那么大的鲸鱼。,,,I never saw so big a whale.
466078,cmn,他企图说谎。,,,He tends to lie.
466112,cmn,凯特受所有人欣赏。,,,Kate is looked up to by everybody.
466119,cmn,你说今晚改变一下，去外面吃晚饭怎么样？,,,How about eating out this evening for a change?
466125,cmn,电脑放在女士们的左边。,,,The computer is placed to the left of the women.
466126,cmn,大楼有20层。,,,The building has 20 floors.
466141,cmn,家父是在三年前離世的，也就是一九七七年。,,,"My father died three years ago, that is to say in 1977."
466151,cmn,演唱会门票比电影票贵。,,,The concert ticket costs more than the cinema ticket.
466152,cmn,美国国旗的颜色是红白蓝。,,,"The colors of the American flag are red, white and blue."
466155,cmn,咖啡是冷的。,,,The coffee is cold.
466158,cmn,孩子们早上去学校。,,,The children go to school in the morning.
466164,cmn,猫看着鱼。,,,The cat is watching the fish.
466170,cmn,胡萝卜要三美元。,,,Carrots cost three dollars.
466187,cmn,那只是你的想象。,,,It's just your imagination.
466191,cmn,我受不了淘气的小孩。,,,I can't stand naughty children.
466200,cmn,我会参加下次的会议。,,,I'll attend the next meeting.
466206,cmn,珍是一個有話直說的人。,,,Jane calls a spade a spade.
466211,cmn,你相信他真是太愚蠢了。,,,It is stupid of you to believe in him.
466222,cmn,我可能犯了个错。,,,I may have made a mistake.
466224,cmn,我父親很老了，耳朵也聽不清楚了。,,,My father is so old that he is hard of hearing.
466234,cmn,少了一把勺子。,,,There is a spoon missing.
466235,cmn,我的字典非常有用。,,,My dictionary is very useful.
466238,cmn,你最好快点。,,,You'd better hurry.
466243,cmn,他写阿拉伯文。,,,He writes Arabic.
466245,cmn,五十岁以后学一门新的语言不是那么容易。,,,It's not that easy to learn a new language after fifty.
466246,cmn,请跟我来。,,,Come along with me.
466257,cmn,我无法忍受她傲慢的态度。,,,I couldn't put up with her arrogant behavior.
466262,cmn,我们自己做的。,,,We did it ourselves.
466266,cmn,消息是橋本告訴我的。,,,I got that news from Hashimoto.
466269,cmn,我开始流血了。,,,I'm starting to bleed.
466283,cmn,我不记得你的名字了。,,,I don't remember your name.
466289,cmn,纽约和伦敦距离多远？,,,What is the distance between New York and London?
466296,cmn,我最初不怎麼喜歡他。,,,"At first, I didn't like him."
466298,cmn,對了，我有一件事要告訴你。,,,"By the way, I have something to tell you."
